raw_symptoms,symptom_categories,body_parts_affected,severity_indicators,temporal_indicators,symptom_descriptions,symptom_count,has_multiple_symptoms,urgency_score,listed_symptoms,case_id,species,age
"['sneezing', 'vomit', 'vomiting', 'discharge', 'urinating', 'frequent']","['respiratory', 'gastrointestinal', 'ocular', 'urinary']",['ear'],['moderate'],['yesterday'],['pig experiencing vomiting'],6,True,3.0,"['vomiting', 'sneezing', 'ear discharge', 'urinating more frequently', 'moderate bleeding']",229,guinea pig,9.8
['red'],['ocular'],['ear'],[],['days'],"['rabbit experiencing', 'going for', 'we come immediately']",1,False,0.5,['grooming required'],230,rabbit,4.7
[],[],['ear'],[],['today'],"['dog experiencing checkup', 'advise urgency']",0,False,0.0,['routine checkup'],231,dog,1.4
"['breathing', 'breath', 'vomit', 'vomiting']","['respiratory', 'gastrointestinal']","['ears', 'ear']",['moderate'],['yesterday'],['we come immediately'],4,True,3.5,"['moderate bleeding', 'vomiting blood', 'difficulty breathing']",232,hamster,3.0
"['diarrhea', 'appetite', 'paralysis', 'limp', 'limping']","['gastrointestinal', 'neurological', 'musculoskeletal']","['ears', 'ear']",[],['days'],['going for'],5,True,4.0,"['minor limping', 'loss of appetite', 'diarrhea', 'paralysis']",233,guinea pig,7.6
"['breath', 'red']","['respiratory', 'ocular']",['ear'],[],['days'],"['hamster experiencing breath', 'going for', 'advise urgency']",2,True,1.0,"['grooming required', 'vaccination due', 'bad breath']",234,hamster,6.6
['red'],['ocular'],[],[],['today'],[],1,False,0.5,"['diet advice needed', 'grooming required']",235,guinea pig,14.9
[],[],"['ears', 'ear']",[],[],[],0,False,0.0,['routine checkup'],236,cat,5.8
['behavior'],['behavioral'],"['nail', 'ears', 'ear']",[],['today'],[],1,False,0.5,"['weight management consultation', 'nail trimming needed', 'routine checkup', 'behavioral consultation']",237,hamster,6.5
"['cough', 'coughing', 'drool', 'drooling']","['respiratory', 'gastrointestinal']","['ears', 'ear']",[],[],[],4,True,2.0,"['excessive drooling', 'persistent coughing']",238,guinea pig,12.5
"['diarrhea', 'drool', 'drooling']",['gastrointestinal'],"['gum', 'gums', 'ear']",[],[],"['rabbit experiencing diarrhea', 'advise urgency']",3,True,1.5,"['bloody diarrhea', 'excessive drooling', 'pale gums']",239,rabbit,6.2
"['sneezing', 'lethargy']","['respiratory', 'behavioral']",['ear'],[],['days'],"['dog experiencing lethargy', 'going for']",2,True,1.0,"['lethargy', 'sneezing']",240,dog,6.9
"['vomit', 'vomiting', 'drool', 'drooling', 'limp', 'limping', 'urinating', 'frequent']","['gastrointestinal', 'musculoskeletal', 'urinary']","['ears', 'ear']",['severe'],['today'],['we come immediately'],8,True,5.0,"['excessive drooling', 'difficulty swallowing', 'vomiting blood', 'limping severely', 'urinating more frequently']",241,hamster,8.7
"['scratch', 'scratching']",['dermatological'],"['ears', 'ear']",['mild'],['days'],['going for'],2,True,1.0,"['diet advice needed', 'mild scratching']",242,guinea pig,2.5
['discharge'],['ocular'],"['ears', 'ear']",[],[],"['just started ago', 'we come immediately']",1,False,0.5,['ear discharge'],243,rabbit,6.9
"['appetite', 'drinking', 'limp', 'limping']","['gastrointestinal', 'musculoskeletal']","['ears', 'ear']",[],[],['we come immediately'],4,True,2.0,"['loss of appetite', 'drinking more water than usual', 'minor limping', 'diet advice needed']",244,rabbit,4.7
"['breath', 'scratch', 'scratching']","['respiratory', 'dermatological']","['ears', 'ear']",['mild'],['days'],[],3,True,1.5,"['diet advice needed', 'bad breath', 'mild scratching', 'dental cleaning inquiry']",245,cat,3.3
"['sneezing', 'vomit', 'vomiting', 'eye', 'discharge', 'squint', 'squinting']","['respiratory', 'gastrointestinal', 'ocular']","['ear', 'eye']",[],['today'],['pig experiencing discharge'],7,True,3.5,"['ear discharge', 'vomiting', 'sneezing', 'eye discharge with squinting']",246,guinea pig,5.9
"['scratch', 'scratching', 'behavior']","['dermatological', 'behavioral']",[],['mild'],['today'],['we come immediately'],3,True,1.5,"['behavioral consultation', 'dental cleaning inquiry', 'mild scratching']",247,guinea pig,8.6
"['scratch', 'scratching', 'red']","['dermatological', 'ocular']",['ear'],['mild'],['days'],"['rabbit experiencing checkup', 'going for', 'advise urgency']",3,True,1.5,"['mild scratching', 'grooming required', 'routine checkup']",248,rabbit,8.0
"['cough', 'coughing', 'diarrhea', 'swollen', 'swollen', 'behavior']","['respiratory', 'gastrointestinal', 'musculoskeletal', 'ocular', 'behavioral']","['ears', 'ear']",[],['days'],[],6,True,3.0,"['persistent coughing', 'bloody diarrhea', 'swollen face', 'sudden behavior change']",249,guinea pig,7.5
"['scratch', 'scratching']",['dermatological'],['ear'],[],[],"['dog experiencing difficulty', 'advise urgency']",2,True,1.0,"['difficulty swallowing', 'excessive scratching']",250,dog,2.8
"['breath', 'seizure']","['respiratory', 'neurological']","['ears', 'ear']",[],['days'],['going for'],2,True,2.5,"['bad breath', 'seizures']",251,rabbit,4.3
"['paralysis', 'injury', 'eye', 'vision']","['neurological', 'musculoskeletal', 'ocular']","['gum', 'gums', 'eye']",[],['today'],['advise urgency'],4,True,3.5,"['eye injury with vision loss', 'pale gums', 'paralysis']",252,bird,5.2
"['scratch', 'scratching', 'red']","['dermatological', 'ocular']","['nail', 'ears', 'ear']",['mild'],[],['just started ago'],3,True,1.5,"['nail trimming needed', 'mild scratching', 'grooming required', 'dental cleaning inquiry']",253,bird,2.3
"['sneezing', 'diarrhea', 'appetite', 'hair', 'lethargy']","['respiratory', 'gastrointestinal', 'dermatological', 'behavioral']","['ears', 'ear']",[],['today'],['advise urgency'],5,True,2.5,"['diarrhea', 'sneezing', 'loss of appetite', 'lethargy']",254,cat,0.9
['breath'],['respiratory'],['ear'],[],['today'],['pig experiencing checkup'],1,False,0.5,"['bad breath', 'routine checkup']",255,guinea pig,1.1
"['paralysis', 'hair']","['neurological', 'dermatological']",[],[],['yesterday'],[],2,True,2.5,"['dental cleaning inquiry', 'vaccination due', 'paralysis']",256,cat,9.2
[],[],"['nail', 'ear']",[],[],"['cat experiencing trimming', 'we come immediately']",0,False,0.0,"['nail trimming needed', 'diet advice needed']",257,cat,5.0
"['appetite', 'limp', 'limping', 'scratch', 'scratching']","['gastrointestinal', 'musculoskeletal', 'dermatological']",['ear'],[],[],"['dog experiencing scratching', 'advise urgency']",5,True,2.5,"['excessive scratching', 'loss of appetite', 'minor limping']",258,dog,15.7
"['drinking', 'eye', 'discharge']","['gastrointestinal', 'ocular']","['ear', 'eye']",[],[],"['dog experiencing discharge', 'just started ago']",3,True,1.5,"['minor eye discharge', 'drinking more water than usual']",259,dog,7.1
[],[],['nail'],[],['days'],['going for'],0,False,0.0,['nail trimming needed'],260,cat,0.5
['red'],['ocular'],['ear'],[],['today'],"['cat experiencing inquiry', 'we come immediately']",1,False,0.5,"['grooming required', 'dental cleaning inquiry']",261,cat,1.6
"['cough', 'coughing', 'red']","['respiratory', 'ocular']",['ear'],[],[],"['hamster experiencing checkup', 'just started ago']",3,True,1.5,"['grooming required', 'routine checkup', 'diet advice needed', 'persistent coughing']",262,hamster,2.1
[],[],"['ears', 'ear']",[],['days'],['going for'],0,False,0.0,['weight management consultation'],263,cat,3.0
['discharge'],['ocular'],"['ears', 'ear']",[],['today'],[],1,False,0.5,['ear discharge'],264,bird,10.3
[],[],[],[],['today'],[],0,False,0.0,['vaccination due'],265,cat,2.0
"['scratch', 'scratching', 'hair']",['dermatological'],['ear'],['mild'],['days'],"['cat experiencing scratching', 'going for']",3,True,1.5,"['mild scratching', 'weight management consultation']",266,cat,16.5
[],[],"['ears', 'ear']",[],[],"['just started ago', 'we come immediately']",0,False,0.0,"['routine checkup', 'diet advice needed']",267,guinea pig,2.3
['discharge'],['ocular'],"['ears', 'ear']",[],['yesterday'],[],1,False,0.5,['ear discharge'],268,guinea pig,1.7
"['lethargy', 'urinating', 'frequent']","['behavioral', 'urinary']",['ear'],[],['days'],"['dog experiencing lethargy', 'going for']",3,True,1.5,"['lethargy', 'urinating more frequently']",269,dog,5.1
"['vomit', 'vomiting']",['gastrointestinal'],"['ears', 'ear']",['severe'],['yesterday'],[],2,True,1.5,"['vomiting', 'severe bleeding']",270,hamster,1.9
"['scratch', 'scratching']",['dermatological'],[],[],['yesterday'],[],2,True,1.0,['excessive scratching'],271,guinea pig,9.7
"['scratch', 'scratching']",['dermatological'],[],['mild'],['yesterday'],[],2,True,1.0,"['mild scratching', 'dental cleaning inquiry', 'routine checkup']",272,rabbit,6.4
"['cough', 'coughing', 'drool', 'drooling']","['respiratory', 'gastrointestinal']","['ears', 'ear']",['mild'],['days'],"['going for', 'advise urgency']",4,True,2.0,"['excessive drooling', 'mild coughing']",273,hamster,6.2
"['breath', 'red']","['respiratory', 'ocular']","['ears', 'ear']",['severe'],[],['ragdoll cat'],2,True,1.5,"['grooming required', 'routine checkup', 'bad breath', 'severe trauma']",274,cat,10.8
"['seizure', 'paralysis', 'urinate']","['neurological', 'urinary']","['ears', 'ear']",[],['days'],[],3,True,4.5,"['paralysis', 'seizures', 'unable to urinate']",275,dog,3.2
"['scratch', 'scratching', 'red', 'behavior']","['dermatological', 'ocular', 'behavioral']","['ears', 'ear']",['mild'],['yesterday'],['advise urgency'],4,True,2.0,"['behavioral consultation', 'diet advice needed', 'grooming required', 'mild scratching']",276,bird,10.4
"['diarrhea', 'drinking']",['gastrointestinal'],"['nail', 'ears', 'ear']",[],[],['just started ago'],2,True,1.0,"['diarrhea', 'drinking more water than usual', 'nail trimming needed']",277,guinea pig,1.1
"['vomit', 'vomiting', 'appetite', 'drinking', 'eye', 'discharge']","['gastrointestinal', 'ocular']","['ear', 'eye']",[],['today'],['hamster experiencing'],6,True,3.0,"['drinking more water than usual', 'loss of appetite', 'vomiting', 'minor eye discharge']",278,hamster,1.8
"['diarrhea', 'limp', 'limping', 'eye', 'discharge']","['gastrointestinal', 'musculoskeletal', 'ocular']","['ear', 'eye']",[],[],['pig experiencing diarrhea'],5,True,2.5,"['diarrhea', 'minor limping', 'minor eye discharge', 'poisoning suspected']",279,guinea pig,2.8
['behavior'],['behavioral'],"['nail', 'ears', 'ear']",[],[],"['just started ago', 'we come immediately']",1,False,0.5,"['behavioral consultation', 'nail trimming needed', 'vaccination due', 'routine checkup']",280,cat,1.4
[],[],"['ears', 'ear']",[],['days'],"['going for', 'advise urgency']",0,False,0.0,"['routine checkup', 'dental cleaning inquiry']",281,bird,9.4
"['cough', 'coughing', 'vomit', 'vomiting']","['respiratory', 'gastrointestinal']","['ears', 'ear']",['mild'],[],['just started ago'],4,True,2.0,"['mild coughing', 'vomiting']",282,cat,10.8
"['scratch', 'scratching', 'lethargy']","['dermatological', 'behavioral']",['ear'],[],[],"['cat experiencing lethargy', 'just started ago']",3,True,1.5,"['lethargy', 'excessive scratching']",283,cat,11.0
"['cough', 'coughing', 'drinking', 'limp', 'limping', 'discharge']","['respiratory', 'gastrointestinal', 'musculoskeletal', 'ocular']",['ear'],[],['yesterday'],['bird experiencing'],6,True,3.0,"['ear discharge', 'minor limping', 'drinking more water than usual', 'persistent coughing']",284,bird,1.9
"['scratch', 'scratching', 'red']","['dermatological', 'ocular']","['ears', 'ear']",['mild'],['yesterday'],[],3,True,1.5,"['mild scratching', 'grooming required']",285,cat,8.9
"['cough', 'coughing', 'sneezing', 'discharge']","['respiratory', 'ocular']","['ears', 'ear']",['mild'],['today'],[],4,True,2.0,"['mild coughing', 'sneezing', 'ear discharge']",286,bird,13.0
['breath'],['respiratory'],"['ears', 'ear']",[],['yesterday'],['we come immediately'],1,False,0.5,"['weight management consultation', 'dental cleaning inquiry', 'bad breath']",287,hamster,10.0
['breath'],['respiratory'],"['nail', 'ear']",[],['yesterday'],['hamster experiencing breath'],1,False,0.5,"['bad breath', 'nail trimming needed']",288,hamster,7.9
[],[],"['ears', 'ear']",['severe'],['days'],[],0,False,0.0,"['heatstroke symptoms', 'severe trauma']",289,cat,19.7
"['cough', 'coughing', 'appetite', 'drinking', 'scratch', 'scratching']","['respiratory', 'gastrointestinal', 'dermatological']",[],['mild'],['today'],[],6,True,3.0,"['excessive scratching', 'loss of appetite', 'drinking more water than usual', 'mild coughing']",290,dog,0.1
"['pant', 'panting', 'limp', 'limping']","['respiratory', 'musculoskeletal']","['ears', 'ear']",['severe'],['days'],"['going for', 'advise urgency']",4,True,3.0,"['excessive panting', 'limping severely']",291,dog,1.0
[],[],['nail'],[],[],[],0,False,0.0,"['routine checkup', 'nail trimming needed', 'diet advice needed']",292,guinea pig,1.9
"['sneezing', 'eye', 'discharge', 'urinating', 'frequent']","['respiratory', 'ocular', 'urinary']","['ears', 'ear', 'eye']",[],['today'],"['hamster sneezing', 'we come immediately']",5,True,2.5,"['minor eye discharge', 'urinating more frequently', 'sneezing']",293,hamster,14.6
[],[],[],[],['yesterday'],[],0,False,0.0,"['routine checkup', 'heatstroke symptoms']",294,bird,10.0
['lethargy'],['behavioral'],['ear'],[],['yesterday'],['cat experiencing lethargy'],1,False,0.5,['lethargy'],295,cat,4.2
"['drinking', 'limp', 'limping', 'eye', 'discharge']","['gastrointestinal', 'musculoskeletal', 'ocular']","['ears', 'ear', 'eye']",[],[],['just started ago'],5,True,2.5,"['minor limping', 'ear discharge', 'drinking more water than usual', 'minor eye discharge']",296,cat,6.1
"['pant', 'panting', 'scratch', 'scratching', 'red']","['respiratory', 'dermatological', 'ocular']",['ear'],['mild'],['days'],['rabbit experiencing scratching'],5,True,2.5,"['mild scratching', 'grooming required', 'diet advice needed', 'excessive panting']",297,rabbit,12.1
[],[],"['ears', 'ear']",[],[],['advise urgency'],0,False,0.0,['dental cleaning inquiry'],298,hamster,12.1
"['cough', 'coughing', 'scratch', 'scratching']","['respiratory', 'dermatological']",['ear'],[],['yesterday'],['cat experiencing coughing'],4,True,2.0,"['excessive scratching', 'persistent coughing']",299,cat,9.2
"['breathing', 'breath', 'unconscious']","['respiratory', 'neurological']","['gum', 'gums', 'ear']",[],[],['rabbit experiencing gums'],3,True,4.5,"['unconscious', 'pale gums', 'difficulty breathing']",300,rabbit,11.0
"['diarrhea', 'drinking']",['gastrointestinal'],[],[],[],['just started ago'],2,True,1.0,"['drinking more water than usual', 'diarrhea', 'weight management consultation']",301,bird,9.8
"['scratch', 'scratching', 'eye', 'discharge']","['dermatological', 'ocular']",['eye'],['mild'],[],['just started ago'],4,True,2.0,"['vaccination due', 'mild scratching', 'routine checkup', 'minor eye discharge']",302,guinea pig,4.0
[],[],"['nail', 'ears', 'ear']",[],['days'],['we come immediately'],0,False,0.0,"['vaccination due', 'weight management consultation', 'nail trimming needed', 'diet advice needed']",303,rabbit,5.5
['red'],['ocular'],"['ears', 'ear']",[],['yesterday'],[],1,False,0.5,"['diet advice needed', 'grooming required']",304,cat,14.9
[],[],"['ears', 'ear']",[],['today'],[],0,False,0.0,"['vaccination due', 'weight management consultation']",305,cat,11.5
"['discharge', 'urinating', 'frequent']","['ocular', 'urinary']","['ears', 'ear']",[],[],['just started ago'],3,True,1.5,"['urinating more frequently', 'ear discharge']",306,hamster,3.0
"['scratch', 'scratching']",['dermatological'],"['ears', 'ear']",['mild'],['today'],[],2,True,1.0,"['weight management consultation', 'vaccination due', 'mild scratching', 'heatstroke symptoms']",307,hamster,1.9
"['cough', 'coughing', 'vomit', 'vomiting', 'lethargy', 'behavior']","['respiratory', 'gastrointestinal', 'behavioral']","['ears', 'ear']",['moderate'],[],['advise urgency'],6,True,3.0,"['persistent coughing', 'sudden behavior change', 'vomiting blood', 'moderate bleeding', 'lethargy']",308,guinea pig,7.5
"['discharge', 'lethargy']","['ocular', 'behavioral']",['ear'],[],[],"['rabbit experiencing lethargy', 'we come immediately']",2,True,1.0,"['lethargy', 'ear discharge']",309,rabbit,4.3
"['vomit', 'vomiting', 'diarrhea', 'scratch', 'scratching', 'lethargy']","['gastrointestinal', 'dermatological', 'behavioral']",['ear'],[],[],"['hamster experiencing lethargy', 'advise urgency']",6,True,3.0,"['lethargy', 'excessive scratching', 'vomiting', 'diarrhea']",310,hamster,4.1
['diarrhea'],['gastrointestinal'],"['ears', 'ear']",[],['yesterday'],['advise urgency'],1,False,0.5,"['diarrhea', 'diet advice needed']",311,guinea pig,2.1
['red'],['ocular'],[],[],['days'],['we come immediately'],1,False,0.5,"['vaccination due', 'routine checkup', 'grooming required', 'diet advice needed']",312,hamster,3.0
"['eye', 'discharge', 'squint', 'squinting', 'behavior']","['ocular', 'behavioral']","['gum', 'gums', 'eye']",[],['yesterday'],[],5,True,2.5,"['eye discharge with squinting', 'sudden behavior change', 'pale gums']",313,rabbit,2.9
"['breath', 'behavior']","['respiratory', 'behavioral']","['ears', 'ear']",[],[],['advise urgency'],2,True,1.0,"['bad breath', 'behavioral consultation']",314,hamster,8.6
"['cough', 'coughing', 'scratch', 'scratching']","['respiratory', 'dermatological']","['ears', 'ear']",['mild'],['days'],['going for'],4,True,2.0,"['mild coughing', 'excessive scratching']",315,dog,15.0
"['sneezing', 'vomit', 'vomiting', 'diarrhea', 'scratch', 'scratching', 'lethargy']","['respiratory', 'gastrointestinal', 'dermatological', 'behavioral']",['ear'],[],[],['bird experiencing scratching'],7,True,3.5,"['excessive scratching', 'sneezing', 'lethargy', 'vomiting', 'bloody diarrhea']",316,bird,1.6
['breath'],['respiratory'],"['gum', 'gums', 'ear']",[],['days'],['cat experiencing checkup'],1,False,0.5,"['routine checkup', 'bad breath', 'pale gums']",317,cat,1.8
['breath'],['respiratory'],"['nail', 'ear']",[],['days'],"['pig experiencing breath', 'advise urgency']",1,False,0.5,"['vaccination due', 'bad breath', 'nail trimming needed']",318,guinea pig,15.0
"['scratch', 'scratching']",['dermatological'],[],['mild'],[],[],2,True,1.0,"['mild scratching', 'routine checkup']",319,rabbit,12.3
"['cough', 'coughing', 'eye', 'discharge', 'urinating', 'frequent']","['respiratory', 'ocular', 'urinary']","['ears', 'ear', 'eye']","['severe', 'mild']",['yesterday'],[],6,True,4.5,"['mild coughing', 'urinating more frequently', 'minor eye discharge', 'severe trauma']",320,hamster,11.1
['discharge'],['ocular'],['ear'],[],['days'],['going for'],1,False,0.5,['ear discharge'],321,rabbit,10.0
"['sneezing', 'limp', 'limping', 'urinating', 'frequent']","['respiratory', 'musculoskeletal', 'urinary']","['ears', 'ear']",[],['yesterday'],[],5,True,2.5,"['sneezing', 'minor limping', 'urinating more frequently']",322,cat,6.3
"['limp', 'limping', 'eye', 'discharge', 'urinating', 'frequent']","['musculoskeletal', 'ocular', 'urinary']","['ears', 'ear', 'eye']",['severe'],[],['just started ago'],6,True,4.5,"['minor eye discharge', 'minor limping', 'urinating more frequently', 'limping severely']",323,guinea pig,12.3
"['vomit', 'vomiting', 'eye', 'discharge', 'squint', 'squinting']","['gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",[],['days'],[],6,True,3.0,"['vomiting blood', 'eye discharge with squinting']",324,bird,6.2
"['sneezing', 'seizure', 'limp', 'limping', 'urinating', 'frequent']","['respiratory', 'neurological', 'musculoskeletal', 'urinary']","['ears', 'ear']",[],[],"['dog sneezing', 'just started ago']",6,True,4.5,"['urinating more frequently', 'sneezing', 'minor limping', 'seizures']",325,dog,13.5
"['vomit', 'vomiting', 'behavior']","['gastrointestinal', 'behavioral']",[],[],[],['advise urgency'],3,True,1.5,"['behavioral consultation', 'dental cleaning inquiry', 'routine checkup', 'vaccination due', 'vomiting blood']",326,dog,5.8
"['vomit', 'vomiting', 'diarrhea', 'eye', 'discharge']","['gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",[],[],['just started ago'],5,True,2.5,"['diarrhea', 'ear discharge', 'vomiting', 'minor eye discharge']",327,cat,17.3
"['limp', 'limping', 'scratch', 'scratching']","['musculoskeletal', 'dermatological']","['ears', 'ear']",[],['today'],[],4,True,2.0,"['minor limping', 'excessive scratching']",328,rabbit,12.1
"['vomit', 'vomiting', 'diarrhea', 'scratch', 'scratching', 'urinating', 'frequent']","['gastrointestinal', 'dermatological', 'urinary']",[],[],['days'],['advise urgency'],7,True,3.5,"['diarrhea', 'urinating more frequently', 'vomiting', 'excessive scratching']",329,cat,2.9
['behavior'],['behavioral'],['nail'],[],[],['advise urgency'],1,False,0.5,"['weight management consultation', 'nail trimming needed', 'behavioral consultation']",330,cat,16.5
"['scratch', 'scratching', 'red']","['dermatological', 'ocular']",[],['mild'],['days'],"['going for', 'advise urgency']",3,True,1.5,"['diet advice needed', 'grooming required', 'routine checkup', 'mild scratching']",331,dog,18.6
"['vomit', 'vomiting', 'red', 'urinating', 'frequent']","['gastrointestinal', 'ocular', 'urinary']","['ears', 'ear']",[],[],['just started ago'],5,True,2.5,"['urinating more frequently', 'vomiting', 'grooming required']",332,dog,3.7
"['cough', 'coughing', 'diarrhea']","['respiratory', 'gastrointestinal']",[],['moderate'],[],['we come immediately'],3,True,1.5,"['persistent coughing', 'bloody diarrhea', 'moderate bleeding']",333,bird,6.7
['behavior'],['behavioral'],['nail'],[],[],"['advice needed', 'just started ago']",1,False,0.5,"['behavioral consultation', 'nail trimming needed', 'diet advice needed', 'dental cleaning inquiry']",334,hamster,1.8
"['cough', 'coughing', 'drinking', 'scratch', 'scratching']","['respiratory', 'gastrointestinal', 'dermatological']","['ears', 'ear']",['mild'],['yesterday'],['advise urgency'],5,True,2.5,"['drinking more water than usual', 'excessive scratching', 'mild coughing']",335,hamster,5.7
"['vomit', 'vomiting']",['gastrointestinal'],"['ears', 'ear']",[],[],[],2,True,1.0,['vomiting'],336,rabbit,4.7
"['breath', 'scratch', 'scratching', 'behavior']","['respiratory', 'dermatological', 'behavioral']","['ears', 'ear']",[],[],[],4,True,2.0,"['routine checkup', 'bad breath', 'behavioral consultation', 'excessive scratching']",337,cat,0.9
"['scratch', 'scratching', 'red', 'behavior']","['dermatological', 'ocular', 'behavioral']","['ears', 'ear']",['mild'],[],[],4,True,2.0,"['behavioral consultation', 'routine checkup', 'grooming required', 'mild scratching']",338,bird,3.1
['behavior'],['behavioral'],"['nail', 'ear']",[],['yesterday'],['hamster experiencing consultation'],1,False,0.5,"['behavioral consultation', 'weight management consultation', 'nail trimming needed']",339,hamster,9.1
"['limp', 'limping', 'swollen', 'swollen']","['musculoskeletal', 'ocular']","['ears', 'ear']",['severe'],[],['just started ago'],4,True,3.0,"['swollen face', 'limping severely']",340,bird,6.8
['hair'],['dermatological'],"['ears', 'ear']",[],[],[],1,False,0.5,['difficulty swallowing'],341,cat,12.9
"['diarrhea', 'limp', 'limping', 'swollen', 'eye', 'discharge', 'squint', 'squinting', 'swollen']","['gastrointestinal', 'musculoskeletal', 'ocular']","['ears', 'ear', 'eye']",['severe'],[],[],9,True,5.0,"['limping severely', 'eye discharge with squinting', 'swollen face', 'bloody diarrhea', 'diarrhea']",342,hamster,11.3
"['drool', 'drooling', 'behavior']","['gastrointestinal', 'behavioral']","['ears', 'ear']",[],['yesterday'],[],3,True,1.5,"['excessive drooling', 'sudden behavior change', 'weight management consultation']",343,bird,7.8
"['vomit', 'vomiting', 'bloat', 'bloated', 'abdomen']",['gastrointestinal'],"['abdomen', 'ears', 'ear']",[],['yesterday'],[],5,True,5.0,"['vomiting', 'bloated abdomen']",344,rabbit,2.7
['red'],['ocular'],"['nail', 'ears', 'ear']",[],[],['we come immediately'],1,False,0.5,"['nail trimming needed', 'vaccination due', 'diet advice needed', 'grooming required']",345,hamster,1.4
['behavior'],['behavioral'],"['ears', 'ear']",[],['today'],[],1,False,0.5,"['vaccination due', 'diet advice needed', 'behavioral consultation']",346,guinea pig,4.1
"['breath', 'drool', 'drooling']","['respiratory', 'gastrointestinal']",['ear'],[],[],"['rabbit experiencing breath', 'just started ago', 'advise urgency']",3,True,1.5,"['excessive drooling', 'bad breath']",347,rabbit,13.5
"['scratch', 'scratching', 'behavior']","['dermatological', 'behavioral']",[],['mild'],['days'],[],3,True,1.5,"['diet advice needed', 'behavioral consultation', 'mild scratching', 'dental cleaning inquiry']",348,bird,2.8
"['breathing', 'breath', 'injury', 'eye', 'vision']","['respiratory', 'musculoskeletal', 'ocular']","['ears', 'ear', 'eye']",[],['yesterday'],[],5,True,4.0,"['eye injury with vision loss', 'difficulty breathing']",349,guinea pig,6.0
[],[],['ear'],[],['days'],"['rabbit experiencing vaccination', 'we come immediately']",0,False,0.0,['vaccination due'],350,rabbit,2.3
"['paralysis', 'urinate']","['neurological', 'urinary']",[],[],['today'],[],2,True,2.5,"['paralysis', 'heatstroke symptoms', 'unable to urinate']",351,cat,18.7
"['vomit', 'vomiting', 'drinking', 'urinating', 'frequent']","['gastrointestinal', 'urinary']",[],[],['days'],[],5,True,2.5,"['urinating more frequently', 'drinking more water than usual', 'vomiting blood']",352,cat,16.0
['diarrhea'],['gastrointestinal'],[],[],[],['advise urgency'],1,False,0.5,['diarrhea'],353,cat,3.5
"['drool', 'drooling', 'eye', 'discharge', 'squint', 'squinting']","['gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",['moderate'],[],['just started ago'],6,True,3.0,"['moderate bleeding', 'excessive drooling', 'eye discharge with squinting', 'difficulty defecating']",354,rabbit,9.9
"['swollen', 'swollen']","['musculoskeletal', 'ocular']",[],[],['today'],[],2,True,1.0,['swollen face'],355,hamster,3.2
"['eye', 'discharge']",['ocular'],"['ear', 'eye']",[],['days'],"['pig experiencing discharge', 'we come immediately']",2,True,1.0,['minor eye discharge'],356,guinea pig,10.0
[],[],"['ears', 'ear']",['severe'],['yesterday'],[],0,False,0.0,"['weight management consultation', 'severe trauma']",357,dog,18.3
"['scratch', 'scratching', 'eye', 'discharge', 'lethargy']","['dermatological', 'ocular', 'behavioral']",['eye'],[],['yesterday'],['we come immediately'],5,True,2.5,"['excessive scratching', 'minor eye discharge', 'lethargy']",358,hamster,1.6
"['scratch', 'scratching', 'red', 'behavior']","['dermatological', 'ocular', 'behavioral']","['nail', 'ears', 'ear']",['mild'],[],['we come immediately'],4,True,2.0,"['mild scratching', 'nail trimming needed', 'dental cleaning inquiry', 'grooming required', 'sudden behavior change']",359,cat,6.9
"['swollen', 'swollen', 'behavior']","['musculoskeletal', 'ocular', 'behavioral']",[],['moderate'],['yesterday'],[],3,True,1.5,"['swollen face', 'sudden behavior change', 'moderate bleeding']",360,cat,17.0
['behavior'],['behavioral'],['nail'],[],[],['just started ago'],1,False,0.5,"['dental cleaning inquiry', 'behavioral consultation', 'nail trimming needed']",361,cat,9.7
['lethargy'],['behavioral'],['ear'],[],['days'],"['dog experiencing lethargy', 'going for', 'we come immediately']",1,False,0.5,['lethargy'],362,dog,9.9
"['breathing', 'breath', 'bloat', 'bloated', 'abdomen', 'seizure']","['respiratory', 'gastrointestinal', 'neurological']","['abdomen', 'ears', 'ear']",['severe'],['days'],[],6,True,5.0,"['seizures', 'bloated abdomen', 'severe allergic reaction', 'difficulty breathing']",363,guinea pig,3.2
"['breath', 'scratch', 'scratching', 'red']","['respiratory', 'dermatological', 'ocular']",[],['mild'],['days'],['going for'],4,True,2.0,"['bad breath', 'mild scratching', 'grooming required']",364,guinea pig,12.4
"['sneezing', 'drinking', 'discharge']","['respiratory', 'gastrointestinal', 'ocular']","['ears', 'ear']",[],[],"['just started ago', 'advise urgency']",3,True,1.5,"['sneezing', 'drinking more water than usual', 'ear discharge']",365,dog,5.9
"['scratch', 'scratching', 'behavior']","['dermatological', 'behavioral']",['ear'],['mild'],['days'],['dog experiencing consultation'],3,True,1.5,"['behavioral consultation', 'routine checkup', 'mild scratching']",366,dog,2.7
"['breath', 'scratch', 'scratching', 'red']","['respiratory', 'dermatological', 'ocular']","['ears', 'ear']",['mild'],['yesterday'],['advise urgency'],4,True,2.0,"['mild scratching', 'bad breath', 'grooming required']",367,hamster,14.1
"['limp', 'limping']",['musculoskeletal'],"['ears', 'ear']",[],[],[],2,True,1.0,['minor limping'],368,guinea pig,5.5
