case_id,timestamp,species,breed,age_years,age_category,weight_kg,symptoms,description,urgency_level,urgency_score,wait_time_minutes,requires_immediate_attention,follow_up_required,previous_conditions
1123,2025-02-01T11:53:03.889923,bird,mixed,12.1,senior,0.4,"['lethargy', 'excessive scratching', 'minor limping', 'vomiting', 'persistent coughing']","My 12.1 year old mixed bird has been experiencing lethargy, excessive scratching, minor limping, vomiting, persistent coughing. Has been going on for 2 days. Should we come in immediately?",moderate,3,43,False,False,"['diabetes', 'arthritis', 'anxiety']"
1124,2025-05-24T11:53:03.889932,cat,Bengal,3.3,adult,5.7,"['grooming required', 'dental cleaning inquiry', 'nail trimming needed']","Patient is a Bengal cat, 3.3 years old, presenting with grooming required, dental cleaning inquiry, nail trimming needed. Noticed yesterday. Is this an emergency?",low,1,120,False,True,['ear infections']
1125,2025-02-11T11:53:03.889940,cat,Sphynx,16.1,geriatric,4.3,"['vaccination due', 'behavioral consultation', 'routine checkup', 'grooming required']","Concerned about my cat (Sphynx, 16.1yo) showing signs of vaccination due, behavioral consultation, routine checkup, grooming required. Just started an hour ago. Is this an emergency?",low,3,33,False,False,"['ear infections', 'allergies', 'kidney disease']"
1126,2024-09-25T11:53:03.889948,guinea pig,mixed,2.6,young,1.2,['mild coughing'],My 2.6 year old mixed guinea pig has been experiencing mild coughing. Noticed yesterday. Very worried.,moderate,3,27,False,False,[]
1127,2025-03-07T11:53:03.889955,guinea pig,mixed,4.7,adult,0.9,['urinating more frequently'],My 4.7 year old mixed guinea pig has been experiencing urinating more frequently. Symptoms for the past week. Very worried.,moderate,2,112,False,False,"['allergies', 'dental disease', 'kidney disease']"
1128,2024-11-30T11:53:03.889965,hamster,mixed,8.0,adult,0.1,"['diet advice needed', 'dental cleaning inquiry', 'vaccination due', 'difficulty swallowing']","My 8.0 year old mixed hamster has been experiencing diet advice needed, dental cleaning inquiry, vaccination due, difficulty swallowing. Has been going on for 2 days. Pet is distressed.",low,1,147,False,False,[]
1129,2025-07-14T11:53:03.889973,rabbit,mixed,4.8,adult,2.6,"['mild scratching', 'bad breath', 'diet advice needed', 'minor limping']","My 4.8 year old mixed rabbit has been experiencing mild scratching, bad breath, diet advice needed, minor limping. Started today. Very worried.",low,1,163,False,True,"['anxiety', 'heart murmur']"
1130,2024-12-27T11:53:03.889981,rabbit,mixed,11.0,senior,3.4,"['ear discharge', 'lethargy']","Patient is a mixed rabbit, 11.0 years old, presenting with ear discharge, lethargy. Has been going on for 2 days. Seems to be getting worse.",moderate,3,33,False,True,[]
1131,2024-12-05T11:53:03.889989,hamster,mixed,1.7,young,0.2,"['minor eye discharge', 'sneezing', 'loss of appetite', 'lethargy']","Concerned about my hamster (mixed, 1.7yo) showing signs of minor eye discharge, sneezing, loss of appetite, lethargy. Progressive over 3 days. Should we come in immediately?",moderate,3,44,False,False,[]
1132,2025-04-01T11:53:03.889996,guinea pig,mixed,1.1,young,0.7,"['vomiting', 'mild coughing', 'lethargy']","Concerned about my guinea pig (mixed, 1.1yo) showing signs of vomiting, mild coughing, lethargy. Symptoms for the past week. Is this an emergency?",moderate,3,42,False,True,[]
1133,2025-08-15T11:53:03.890004,guinea pig,mixed,2.6,young,0.9,"['drinking more water than usual', 'vomiting', 'mild coughing', 'seizures']","Patient is a mixed guinea pig, 2.6 years old, presenting with drinking more water than usual, vomiting, mild coughing, seizures. Started today. Should we come in immediately?",moderate,3,31,False,True,"['diabetes', 'dental disease']"
1134,2025-06-08T11:53:03.890013,rabbit,mixed,1.4,young,1.8,"['vomiting', 'diarrhea', 'minor limping']","Patient is a mixed rabbit, 1.4 years old, presenting with vomiting, diarrhea, minor limping. Noticed yesterday. Is this an emergency?",moderate,3,39,False,False,[]
1135,2024-10-08T11:53:03.890020,guinea pig,mixed,7.2,adult,1.1,"['urinating more frequently', 'minor eye discharge']","Concerned about my guinea pig (mixed, 7.2yo) showing signs of urinating more frequently, minor eye discharge. Noticed yesterday. Should we come in immediately?",moderate,2,79,False,True,[]
1136,2025-06-11T11:53:03.890027,bird,mixed,4.4,adult,0.4,['sneezing'],mixed bird with sneezing. Age: 4.4 years. Has been going on for 2 days. Pet is distressed.,moderate,2,100,False,False,[]
1137,2024-09-01T11:53:03.890035,rabbit,mixed,2.2,young,3.4,"['loss of appetite', 'sneezing', 'vomiting', 'excessive scratching', 'dental cleaning inquiry']","Concerned about my rabbit (mixed, 2.2yo) showing signs of loss of appetite, sneezing, vomiting, excessive scratching, dental cleaning inquiry. Progressive over 3 days. Seems to be getting worse.",moderate,3,19,False,True,['eye problems']
1138,2025-03-06T11:53:03.890044,rabbit,mixed,6.1,adult,2.9,"['swollen face', 'ear discharge']","mixed rabbit with swollen face, ear discharge. Age: 6.1 years. Symptoms for the past week. Is this an emergency?",urgent,3,19,False,True,"['diabetes', 'heart murmur', 'skin condition']"
1139,2025-02-15T11:53:03.890054,cat,Russian Blue,2.2,young,5.0,"['excessive drooling', 'swollen face', 'pale gums']","My 2.2 year old Russian Blue cat has been experiencing excessive drooling, swollen face, pale gums. Symptoms for the past week. Pet is distressed.",urgent,4,6,True,False,[]
1140,2025-04-13T11:53:03.890063,dog,Golden Retriever,13.4,senior,28.9,"['excessive panting', 'persistent coughing', 'excessive drooling', 'behavioral consultation']","Patient is a Golden Retriever dog, 13.4 years old, presenting with excessive panting, persistent coughing, excessive drooling, behavioral consultation. Has been going on for 2 days. Seems to be getting worse.",urgent,5,3,True,False,['cancer remission']
1141,2024-10-25T11:53:03.890073,rabbit,mixed,2.5,young,2.1,"['diet advice needed', 'grooming required']","Concerned about my rabbit (mixed, 2.5yo) showing signs of diet advice needed, grooming required. Just started an hour ago. Pet is distressed.",low,2,115,False,False,[]
1142,2025-07-15T11:53:03.890080,hamster,mixed,6.5,adult,0.1,"['vomiting', 'drinking more water than usual']","Patient is a mixed hamster, 6.5 years old, presenting with vomiting, drinking more water than usual. Started today. Is this an emergency?",moderate,2,75,False,True,"['eye problems', 'ear infections']"
1143,2025-06-22T11:53:03.890090,cat,Scottish Fold,6.2,adult,5.8,"['grooming required', 'behavioral consultation', 'mild scratching', 'dental cleaning inquiry']","Patient is a Scottish Fold cat, 6.2 years old, presenting with grooming required, behavioral consultation, mild scratching, dental cleaning inquiry. Has been going on for 2 days. Pet is distressed.",low,1,229,False,False,['cancer remission']
1144,2025-01-16T11:53:03.890100,rabbit,mixed,9.5,senior,2.6,"['diarrhea', 'sneezing', 'severe trauma']","Patient is a mixed rabbit, 9.5 years old, presenting with diarrhea, sneezing, severe trauma. Noticed yesterday. Seems to be getting worse.",moderate,3,45,False,True,[]
1145,2024-11-20T11:53:03.890107,cat,Sphynx,2.5,young,4.2,"['sneezing', 'ear discharge', 'minor eye discharge', 'lethargy']","Sphynx cat with sneezing, ear discharge, minor eye discharge, lethargy. Age: 2.5 years. Started today. Please advise urgency.",moderate,3,30,False,False,[]
1146,2025-01-16T11:53:03.890115,hamster,mixed,2.5,young,0.2,"['mild coughing', 'loss of appetite', 'vomiting']","mixed hamster with mild coughing, loss of appetite, vomiting. Age: 2.5 years. Noticed yesterday. Very worried.",moderate,3,41,False,False,"['diabetes', 'eye problems', 'arthritis']"
1147,2024-12-11T11:53:03.890123,guinea pig,mixed,1.3,young,0.6,['bad breath'],"Patient is a mixed guinea pig, 1.3 years old, presenting with bad breath. Just started an hour ago. Seems to be getting worse.",low,2,118,False,False,"['obesity', 'eye problems', 'hip dysplasia']"
1148,2025-02-27T11:53:03.890131,rabbit,mixed,2.3,young,1.8,"['minor eye discharge', 'lethargy', 'sneezing', 'urinating more frequently']","mixed rabbit with minor eye discharge, lethargy, sneezing, urinating more frequently. Age: 2.3 years. Started today. Seems to be getting worse.",moderate,3,27,False,True,"['cancer remission', 'obesity', 'hip dysplasia']"
1149,2024-09-04T11:53:03.890139,hamster,mixed,14.7,senior,0.2,['paralysis'],"Concerned about my hamster (mixed, 14.7yo) showing signs of paralysis. Just started an hour ago. Please advise urgency.",critical,5,4,True,False,[]
1150,2025-02-10T11:53:03.890147,guinea pig,mixed,1.7,young,0.6,"['dental cleaning inquiry', 'grooming required']","Patient is a mixed guinea pig, 1.7 years old, presenting with dental cleaning inquiry, grooming required. Just started an hour ago. Seems to be getting worse.",low,2,112,False,True,[]
1151,2024-08-22T11:53:03.890154,bird,mixed,1.4,young,0.3,"['diarrhea', 'ear discharge', 'minor limping', 'drinking more water than usual']","My 1.4 year old mixed bird has been experiencing diarrhea, ear discharge, minor limping, drinking more water than usual. Noticed yesterday. Pet is distressed.",moderate,3,15,False,False,"['skin condition', 'arthritis']"
1152,2024-12-22T11:53:03.890162,rabbit,mixed,14.8,senior,2.2,"['eye injury with vision loss', 'poisoning suspected']","Patient is a mixed rabbit, 14.8 years old, presenting with eye injury with vision loss, poisoning suspected. Noticed yesterday. Very worried.",critical,5,3,True,False,[]
1153,2024-10-18T11:53:03.890170,guinea pig,mixed,12.3,senior,1.2,"['minor eye discharge', 'drinking more water than usual']","My 12.3 year old mixed guinea pig has been experiencing minor eye discharge, drinking more water than usual. Noticed yesterday. Very worried.",moderate,3,43,False,True,[]
1154,2025-07-15T11:53:03.890177,dog,Bulldog,0.5,puppy,15.1,"['eye discharge with squinting', 'bloody diarrhea', 'moderate bleeding']","Bulldog dog with eye discharge with squinting, bloody diarrhea, moderate bleeding. Age: 0.5 years. Has been going on for 2 days. Should we come in immediately?",urgent,4,11,True,False,[]
1155,2025-01-21T11:53:03.890185,dog,Beagle,5.9,adult,25.5,"['vaccination due', 'weight management consultation', 'grooming required', 'dental cleaning inquiry']","Patient is a Beagle dog, 5.9 years old, presenting with vaccination due, weight management consultation, grooming required, dental cleaning inquiry. Symptoms for the past week. Pet is distressed.",low,1,139,False,False,"['skin condition', 'obesity']"
1156,2024-11-15T11:53:03.890195,hamster,mixed,8.9,senior,0.1,"['minor limping', 'diarrhea', 'excessive panting']","Concerned about my hamster (mixed, 8.9yo) showing signs of minor limping, diarrhea, excessive panting. Noticed yesterday. Pet is distressed.",moderate,3,23,False,True,"['arthritis', 'kidney disease']"
1157,2025-03-30T11:53:03.890203,bird,mixed,5.9,adult,0.3,"['mild coughing', 'sneezing']","Patient is a mixed bird, 5.9 years old, presenting with mild coughing, sneezing. Noticed yesterday. Pet is distressed.",moderate,2,117,False,True,[]
1158,2025-06-16T11:53:03.890210,rabbit,mixed,11.7,senior,1.6,"['diarrhea', 'vomiting', 'ear discharge', 'lethargy']","Concerned about my rabbit (mixed, 11.7yo) showing signs of diarrhea, vomiting, ear discharge, lethargy. Progressive over 3 days. Is this an emergency?",moderate,3,34,False,True,[]
1159,2025-06-13T11:53:03.890218,rabbit,mixed,11.1,senior,2.2,"['drinking more water than usual', 'vomiting', 'lethargy']","mixed rabbit with drinking more water than usual, vomiting, lethargy. Age: 11.1 years. Symptoms for the past week. Should we come in immediately?",moderate,3,33,False,True,"['kidney disease', 'hip dysplasia', 'eye problems']"
1160,2025-05-22T11:53:03.890226,rabbit,mixed,1.7,young,2.5,"['nail trimming needed', 'behavioral consultation', 'vaccination due']","My 1.7 year old mixed rabbit has been experiencing nail trimming needed, behavioral consultation, vaccination due. Just started an hour ago. Very worried.",low,2,104,False,True,"['thyroid issues', 'ear infections', 'heart murmur']"
1161,2025-06-04T11:53:03.890235,dog,Poodle,0.4,puppy,15.7,"['bloody diarrhea', 'limping severely', 'moderate bleeding', 'excessive drooling']","Poodle dog with bloody diarrhea, limping severely, moderate bleeding, excessive drooling. Age: 0.4 years. Just started an hour ago. Very worried.",urgent,4,11,True,True,[]
1162,2024-12-15T11:53:03.890242,hamster,mixed,3.8,adult,0.1,['difficulty defecating'],"Concerned about my hamster (mixed, 3.8yo) showing signs of difficulty defecating. Just started an hour ago. Should we come in immediately?",urgent,3,25,False,True,"['obesity', 'dental disease']"
1163,2025-06-28T11:53:03.890251,cat,Abyssinian,1.0,young,4.0,"['minor limping', 'minor eye discharge', 'bad breath']","Patient is a Abyssinian cat, 1.0 years old, presenting with minor limping, minor eye discharge, bad breath. Started today. Should we come in immediately?",moderate,3,37,False,False,[]
1164,2025-05-29T11:53:03.890259,bird,mixed,1.4,young,0.4,"['excessive scratching', 'lethargy', 'diarrhea', 'urinating more frequently']","Concerned about my bird (mixed, 1.4yo) showing signs of excessive scratching, lethargy, diarrhea, urinating more frequently. Has been going on for 2 days. Should we come in immediately?",moderate,3,31,False,True,[]
1165,2025-02-04T11:53:03.890266,cat,Sphynx,16.6,geriatric,3.7,['diarrhea'],"Concerned about my cat (Sphynx, 16.6yo) showing signs of diarrhea. Symptoms for the past week. Pet is distressed.",moderate,4,7,True,False,"['hip dysplasia', 'heart murmur']"
1166,2024-08-24T11:53:03.890275,bird,mixed,12.2,senior,0.3,"['ear discharge', 'vomiting', 'diarrhea', 'mild coughing']","My 12.2 year old mixed bird has been experiencing ear discharge, vomiting, diarrhea, mild coughing. Symptoms for the past week. Please advise urgency.",moderate,3,29,False,True,[]
1167,2024-09-08T11:53:03.890282,hamster,mixed,8.4,senior,0.2,"['minor limping', 'diarrhea']","My 8.4 year old mixed hamster has been experiencing minor limping, diarrhea. Started today. Seems to be getting worse.",moderate,3,18,False,False,"['diabetes', 'eye problems', 'skin condition']"
1168,2024-10-22T11:53:03.890290,rabbit,mixed,7.2,adult,1.5,['loss of appetite'],mixed rabbit with loss of appetite. Age: 7.2 years. Just started an hour ago. Very worried.,moderate,2,73,False,False,[]
1169,2024-11-11T11:53:03.890298,guinea pig,mixed,1.7,young,0.6,"['vaccination due', 'minor limping']","My 1.7 year old mixed guinea pig has been experiencing vaccination due, minor limping. Noticed yesterday. Pet is distressed.",low,2,116,False,True,['arthritis']
1170,2025-04-25T11:53:03.890306,guinea pig,mixed,10.1,senior,0.7,"['weight management consultation', 'behavioral consultation', 'dental cleaning inquiry', 'routine checkup']","Concerned about my guinea pig (mixed, 10.1yo) showing signs of weight management consultation, behavioral consultation, dental cleaning inquiry, routine checkup. Just started an hour ago. Please advise urgency.",low,2,53,False,False,[]
1171,2024-08-27T11:53:03.890314,cat,Persian,1.1,young,3.2,['diet advice needed'],Persian cat with diet advice needed. Age: 1.1 years. Has been going on for 2 days. Very worried.,low,2,79,False,False,[]
1172,2025-01-22T11:53:03.890321,guinea pig,mixed,1.3,young,0.6,"['diarrhea', 'loss of appetite']","mixed guinea pig with diarrhea, loss of appetite. Age: 1.3 years. Has been going on for 2 days. Please advise urgency.",moderate,3,28,False,True,"['arthritis', 'allergies', 'thyroid issues']"
1173,2024-12-06T11:53:03.890330,hamster,mixed,13.3,senior,0.2,"['bad breath', 'behavioral consultation', 'weight management consultation', 'routine checkup']","Concerned about my hamster (mixed, 13.3yo) showing signs of bad breath, behavioral consultation, weight management consultation, routine checkup. Symptoms for the past week. Should we come in immediately?",low,2,70,False,False,[]
1174,2025-08-13T11:53:03.890337,rabbit,mixed,6.6,adult,2.0,"['persistent coughing', 'swollen face']","Concerned about my rabbit (mixed, 6.6yo) showing signs of persistent coughing, swollen face. Just started an hour ago. Please advise urgency.",urgent,3,31,False,True,"['diabetes', 'ear infections', 'eye problems']"
1175,2025-06-09T11:53:03.890346,dog,German Shepherd,8.5,senior,39.6,"['difficulty swallowing', 'persistent coughing', 'moderate bleeding', 'excessive drooling']","My 8.5 year old German Shepherd dog has been experiencing difficulty swallowing, persistent coughing, moderate bleeding, excessive drooling. Started today. Pet is distressed.",urgent,5,2,True,False,[]
1176,2025-06-12T11:53:03.890353,hamster,mixed,4.8,adult,0.2,"['mild scratching', 'bad breath']","Patient is a mixed hamster, 4.8 years old, presenting with mild scratching, bad breath. Just started an hour ago. Please advise urgency.",low,1,152,False,False,"['eye problems', 'obesity']"
1177,2024-10-28T11:53:03.890361,hamster,mixed,1.3,young,0.1,"['urinating more frequently', 'lethargy', 'diarrhea']","My 1.3 year old mixed hamster has been experiencing urinating more frequently, lethargy, diarrhea. Noticed yesterday. Should we come in immediately?",moderate,3,19,False,False,[]
1178,2025-07-18T11:53:03.890372,cat,British Shorthair,5.4,adult,6.4,['limping severely'],British Shorthair cat with limping severely. Age: 5.4 years. Has been going on for 2 days. Please advise urgency.,urgent,3,40,False,False,"['hip dysplasia', 'allergies']"
1179,2025-01-21T11:53:03.890381,guinea pig,mixed,4.5,adult,0.7,['grooming required'],"Concerned about my guinea pig (mixed, 4.5yo) showing signs of grooming required. Has been going on for 2 days. Please advise urgency.",low,1,193,False,True,[]
1180,2024-09-05T11:53:03.890388,dog,Chihuahua,14.5,senior,2.3,"['poisoning suspected', 'paralysis']","Concerned about my dog (Chihuahua, 14.5yo) showing signs of poisoning suspected, paralysis. Symptoms for the past week. Is this an emergency?",critical,5,3,True,False,[]
1181,2024-12-19T11:53:03.890398,guinea pig,mixed,11.5,senior,0.8,['excessive scratching'],"Patient is a mixed guinea pig, 11.5 years old, presenting with excessive scratching. Has been going on for 2 days. Is this an emergency?",moderate,3,26,False,False,[]
1182,2025-02-03T11:53:03.890406,guinea pig,mixed,2.7,young,0.8,"['minor limping', 'excessive scratching', 'drinking more water than usual', 'dental cleaning inquiry']","Concerned about my guinea pig (mixed, 2.7yo) showing signs of minor limping, excessive scratching, drinking more water than usual, dental cleaning inquiry. Started today. Is this an emergency?",moderate,3,43,False,False,[]
1183,2024-09-12T11:53:03.890415,rabbit,mixed,3.0,young,2.3,"['diet advice needed', 'mild scratching', 'bad breath', 'grooming required', 'moderate bleeding']","Concerned about my rabbit (mixed, 3.0yo) showing signs of diet advice needed, mild scratching, bad breath, grooming required, moderate bleeding. Has been going on for 2 days. Please advise urgency.",low,2,74,False,False,[]
1184,2025-01-26T11:53:03.890424,dog,Poodle,0.8,puppy,15.5,"['behavioral consultation', 'bloated abdomen']","Concerned about my dog (Poodle, 0.8yo) showing signs of behavioral consultation, bloated abdomen. Progressive over 3 days. Pet is distressed.",low,2,97,False,False,[]
1185,2024-12-19T11:53:03.890431,hamster,mixed,2.0,young,0.2,"['weight management consultation', 'routine checkup']","Patient is a mixed hamster, 2.0 years old, presenting with weight management consultation, routine checkup. Noticed yesterday. Please advise urgency.",low,2,51,False,False,"['cancer remission', 'diabetes']"
1186,2025-08-14T11:53:03.890439,rabbit,mixed,13.8,senior,2.1,['loss of appetite'],"Concerned about my rabbit (mixed, 13.8yo) showing signs of loss of appetite. Has been going on for 2 days. Is this an emergency?",moderate,3,16,False,False,"['heart murmur', 'obesity']"
1187,2025-07-27T11:53:03.890448,hamster,mixed,14.4,senior,0.1,"['weight management consultation', 'bad breath', 'nail trimming needed']","Concerned about my hamster (mixed, 14.4yo) showing signs of weight management consultation, bad breath, nail trimming needed. Started today. Please advise urgency.",low,2,93,False,False,"['skin condition', 'thyroid issues']"
1188,2025-02-28T11:53:03.890456,bird,mixed,1.6,young,0.2,"['difficulty swallowing', 'excessive panting']","mixed bird with difficulty swallowing, excessive panting. Age: 1.6 years. Progressive over 3 days. Pet is distressed.",urgent,4,13,True,True,[]
1189,2024-08-29T11:53:03.890464,bird,mixed,2.7,young,0.2,"['moderate bleeding', 'difficulty defecating', 'excessive drooling', 'excessive panting']","Concerned about my bird (mixed, 2.7yo) showing signs of moderate bleeding, difficulty defecating, excessive drooling, excessive panting. Has been going on for 2 days. Is this an emergency?",urgent,4,11,True,True,[]
1190,2025-07-18T11:53:03.890472,dog,Husky,0.7,puppy,14.3,"['mild scratching', 'diet advice needed', 'bad breath', 'behavioral consultation']","My 0.7 year old Husky dog has been experiencing mild scratching, diet advice needed, bad breath, behavioral consultation. Progressive over 3 days. Is this an emergency?",low,2,120,False,False,[]
1191,2024-11-08T11:53:03.890480,dog,Bulldog,0.4,puppy,13.6,"['minor limping', 'drinking more water than usual', 'excessive panting']","Bulldog dog with minor limping, drinking more water than usual, excessive panting. Age: 0.4 years. Progressive over 3 days. Should we come in immediately?",moderate,3,40,False,False,[]
1192,2025-01-02T11:53:03.890489,bird,mixed,1.2,young,0.4,"['minor eye discharge', 'drinking more water than usual', 'ear discharge', 'lethargy', 'eye injury with vision loss']","Patient is a mixed bird, 1.2 years old, presenting with minor eye discharge, drinking more water than usual, ear discharge, lethargy, eye injury with vision loss. Noticed yesterday. Should we come in immediately?",moderate,3,22,False,True,[]
1193,2025-05-05T11:53:03.890497,bird,mixed,9.5,senior,0.4,"['grooming required', 'diet advice needed', 'bad breath', 'dental cleaning inquiry', 'difficulty defecating']","My 9.5 year old mixed bird has been experiencing grooming required, diet advice needed, bad breath, dental cleaning inquiry, difficulty defecating. Progressive over 3 days. Please advise urgency.",low,2,49,False,True,[]
1194,2025-07-25T11:53:03.890506,bird,mixed,14.7,senior,0.5,"['diet advice needed', 'vaccination due', 'nail trimming needed', 'bad breath', 'diarrhea']","Concerned about my bird (mixed, 14.7yo) showing signs of diet advice needed, vaccination due, nail trimming needed, bad breath, diarrhea. Just started an hour ago. Should we come in immediately?",low,2,68,False,True,[]
1195,2025-01-24T11:53:03.890513,cat,Abyssinian,3.7,adult,6.0,"['bad breath', 'behavioral consultation']","Abyssinian cat with bad breath, behavioral consultation. Age: 3.7 years. Noticed yesterday. Please advise urgency.",low,1,229,False,True,['eye problems']
1196,2025-08-19T11:53:03.890522,bird,mixed,8.3,senior,0.4,"['nail trimming needed', 'vaccination due', 'mild scratching', 'minor limping']","Concerned about my bird (mixed, 8.3yo) showing signs of nail trimming needed, vaccination due, mild scratching, minor limping. Just started an hour ago. Please advise urgency.",low,2,73,False,True,['kidney disease']
1197,2025-06-23T11:53:03.890531,dog,German Shepherd,19.7,geriatric,34.0,"['minor limping', 'excessive scratching', 'drinking more water than usual', 'minor eye discharge']","Concerned about my dog (German Shepherd, 19.7yo) showing signs of minor limping, excessive scratching, drinking more water than usual, minor eye discharge. Progressive over 3 days. Please advise urgency.",moderate,4,7,True,True,['ear infections']
1198,2024-09-13T11:53:03.890540,cat,Maine Coon,0.7,kitten,2.9,"['excessive scratching', 'urinating more frequently', 'loss of appetite']","Concerned about my cat (Maine Coon, 0.7yo) showing signs of excessive scratching, urinating more frequently, loss of appetite. Just started an hour ago. Very worried.",moderate,3,34,False,True,[]
1199,2025-03-02T11:53:03.890547,hamster,mixed,10.8,senior,0.2,"['excessive panting', 'bloody diarrhea', 'difficulty defecating', 'vomiting blood']","Concerned about my hamster (mixed, 10.8yo) showing signs of excessive panting, bloody diarrhea, difficulty defecating, vomiting blood. Just started an hour ago. Please advise urgency.",urgent,5,4,True,True,[]
1200,2025-05-19T11:53:03.890554,guinea pig,mixed,6.6,adult,1.1,"['ear discharge', 'vomiting', 'excessive scratching']","My 6.6 year old mixed guinea pig has been experiencing ear discharge, vomiting, excessive scratching. Started today. Very worried.",moderate,2,61,False,True,[]
1201,2025-06-09T11:53:03.890562,rabbit,mixed,10.8,senior,3.4,"['grooming required', 'vaccination due', 'dental cleaning inquiry', 'bad breath']","My 10.8 year old mixed rabbit has been experiencing grooming required, vaccination due, dental cleaning inquiry, bad breath. Noticed yesterday. Seems to be getting worse.",low,2,119,False,True,['diabetes']
1202,2025-05-24T11:53:03.890570,guinea pig,mixed,2.0,young,0.9,"['mild scratching', 'dental cleaning inquiry', 'bad breath']","Concerned about my guinea pig (mixed, 2.0yo) showing signs of mild scratching, dental cleaning inquiry, bad breath. Just started an hour ago. Seems to be getting worse.",low,2,71,False,False,['thyroid issues']
1203,2024-10-30T11:53:03.890580,guinea pig,mixed,1.4,young,0.6,"['eye discharge with squinting', 'bloody diarrhea', 'excessive drooling', 'paralysis']","Concerned about my guinea pig (mixed, 1.4yo) showing signs of eye discharge with squinting, bloody diarrhea, excessive drooling, paralysis. Noticed yesterday. Please advise urgency.",urgent,4,8,True,True,"['allergies', 'skin condition', 'anxiety']"
1204,2025-02-25T11:53:03.890588,guinea pig,mixed,9.9,senior,0.8,"['limping severely', 'persistent coughing']","Concerned about my guinea pig (mixed, 9.9yo) showing signs of limping severely, persistent coughing. Progressive over 3 days. Please advise urgency.",urgent,5,4,True,True,[]
1205,2025-06-15T11:53:03.890595,hamster,mixed,4.3,adult,0.1,"['mild coughing', 'urinating more frequently']","Concerned about my hamster (mixed, 4.3yo) showing signs of mild coughing, urinating more frequently. Started today. Seems to be getting worse.",moderate,2,90,False,True,[]
1206,2025-04-30T11:53:03.890604,dog,Golden Retriever,0.6,puppy,12.1,"['urinating more frequently', 'ear discharge', 'lethargy', 'mild coughing', 'paralysis']","Golden Retriever dog with urinating more frequently, ear discharge, lethargy, mild coughing, paralysis. Age: 0.6 years. Progressive over 3 days. Pet is distressed.",moderate,3,17,False,True,"['heart murmur', 'dental disease', 'cancer remission']"
1207,2024-12-24T11:53:03.890613,rabbit,mixed,3.6,adult,3.1,"['grooming required', 'routine checkup', 'weight management consultation']","Concerned about my rabbit (mixed, 3.6yo) showing signs of grooming required, routine checkup, weight management consultation. Has been going on for 2 days. Should we come in immediately?",low,1,220,False,False,[]
1208,2025-01-04T11:53:03.890620,rabbit,mixed,14.1,senior,3.3,"['dental cleaning inquiry', 'routine checkup']","My 14.1 year old mixed rabbit has been experiencing dental cleaning inquiry, routine checkup. Started today. Pet is distressed.",low,2,50,False,False,[]
1209,2025-03-13T11:53:03.890628,rabbit,mixed,4.8,adult,3.2,"['drinking more water than usual', 'minor limping', 'bloody diarrhea']","Concerned about my rabbit (mixed, 4.8yo) showing signs of drinking more water than usual, minor limping, bloody diarrhea. Has been going on for 2 days. Seems to be getting worse.",moderate,2,55,False,True,['dental disease']
1210,2024-08-25T11:53:03.890637,bird,mixed,12.2,senior,0.4,"['weight management consultation', 'routine checkup', 'behavioral consultation']","My 12.2 year old mixed bird has been experiencing weight management consultation, routine checkup, behavioral consultation. Progressive over 3 days. Seems to be getting worse.",low,2,75,False,False,[]
1211,2024-10-19T11:53:03.890644,rabbit,mixed,11.2,senior,1.7,['persistent coughing'],mixed rabbit with persistent coughing. Age: 11.2 years. Noticed yesterday. Please advise urgency.,urgent,5,0,True,False,[]
1212,2024-11-11T11:53:03.890651,dog,Dachshund,9.6,senior,31.3,"['loss of appetite', 'minor limping']","Concerned about my dog (Dachshund, 9.6yo) showing signs of loss of appetite, minor limping. Symptoms for the past week. Please advise urgency.",moderate,3,22,False,False,[]
1213,2025-07-12T11:53:03.890660,cat,British Shorthair,10.5,senior,5.9,"['routine checkup', 'nail trimming needed', 'mild scratching', 'vaccination due', 'excessive drooling']","Patient is a British Shorthair cat, 10.5 years old, presenting with routine checkup, nail trimming needed, mild scratching, vaccination due, excessive drooling. Progressive over 3 days. Very worried.",low,2,61,False,True,[]
1214,2025-06-26T11:53:03.890667,guinea pig,mixed,5.0,adult,1.1,"['unable to urinate', 'severe allergic reaction']","My 5.0 year old mixed guinea pig has been experiencing unable to urinate, severe allergic reaction. Started today. Is this an emergency?",critical,4,8,True,False,"['dental disease', 'allergies', 'hip dysplasia']"
1215,2025-05-29T11:53:03.890677,rabbit,mixed,12.2,senior,3.0,"['routine checkup', 'mild scratching', 'weight management consultation', 'excessive drooling']","Patient is a mixed rabbit, 12.2 years old, presenting with routine checkup, mild scratching, weight management consultation, excessive drooling. Just started an hour ago. Very worried.",low,2,50,False,True,[]
1216,2025-02-27T11:53:03.890684,guinea pig,mixed,2.0,young,0.6,"['urinating more frequently', 'excessive scratching']","My 2.0 year old mixed guinea pig has been experiencing urinating more frequently, excessive scratching. Symptoms for the past week. Please advise urgency.",moderate,3,16,False,False,[]
1217,2025-01-25T11:53:03.890691,bird,mixed,9.2,senior,0.5,"['ear discharge', 'minor eye discharge']","mixed bird with ear discharge, minor eye discharge. Age: 9.2 years. Has been going on for 2 days. Very worried.",moderate,3,40,False,True,[]
